185.48.250.175:443#RS [448.2ms 0.14Mbps]
193.181.214.98:8443#DK [460.36ms 3.3Mbps]
2.56.206.114:8443#AM [469.62ms 0.32Mbps]
2.56.204.183:443#AM [470.63ms 0.21Mbps]
107.172.145.153:443#IE [474.2ms 0.35Mbps]
130.94.116.44:443#EC [483.06ms 0.24Mbps]
2.56.206.114:2053#AM [489.2ms 0.14Mbps]
151.236.29.97:443#GR [489.66ms 0.26Mbps]
130.12.171.63:443#LT [490.8ms 0.16Mbps]
130.49.189.89:443#AL [492.49ms 3.35Mbps]
188.253.6.209:443#TW [494.25ms 0.14Mbps]
153.80.244.215:443#BY [496.53ms 0.34Mbps]
109.93.20.106:443#RS [512.57ms 0.26Mbps]
191.44.32.253:443#BR [515.06ms 0.1Mbps]
202.50.55.54:443#NO [520.02ms 0.14Mbps]
152.67.41.217:443#BR [593.45ms 2.41Mbps]
192.71.27.237:443#IL [595.77ms 0.11Mbps]
140.238.17.157:443#KR [604.32ms 0.22Mbps]
193.169.228.116:443#IL [607.95ms 0.27Mbps]
132.226.163.224:8443#BR [613.35ms 0.15Mbps]
132.226.163.224:2053#BR [614.15ms 0.1Mbps]
141.105.130.102:443#UA [629.74ms 3.77Mbps]
216.238.79.83:8443#MX [641.41ms 2.57Mbps]
216.238.88.154:8443#MX [643.19ms 1.46Mbps]
216.173.67.119:443#MY [643.88ms 0.97Mbps]
134.255.210.74:443#CY [681.55ms 0.16Mbps]
139.84.244.9:443#ZA [870.2ms 1.34Mbps]
139.84.235.99:443#ZA [871.56ms 0.26Mbps]
139.84.230.41:443#ZA [872.67ms 0.47Mbps]
104.155.124.198:443#BE [1046.12ms 0.12Mbps]
104.128.130.7:443#MD [1058.34ms 0.16Mbps]
103.199.18.23:443#VN [1113.34ms 0.24Mbps]
103.167.235.79:443#AL [1118.11ms 4.17Mbps]
103.167.235.130:443#AL [1120.24ms 3.1Mbps]
103.178.153.198:443#ID [1126.78ms 2.66Mbps]
61.245.10.8:443#PH [1133.45ms 0.37Mbps]
102.223.74.126:443#ZA [1142.77ms 1.09Mbps]
101.108.49.121:443#TH [1147.35ms 0.12Mbps]
157.85.105.126:443#TH [1176.43ms 5.71Mbps]
143.14.11.61:443#TH [1205.37ms 2.09Mbps]
47.250.212.59:2053#MY [1218.2ms 0.28Mbps]
176.97.66.175:443#AE [1222.31ms 0.35Mbps]
194.68.32.99:443#NO [1247.55ms 3.53Mbps]
91.219.236.202:2053#HU [1264.08ms 0.15Mbps]
63.32.194.15:2053#IE [1264.55ms 2.27Mbps]
54.194.24.172:443#IE [1266.02ms 0.9Mbps]
180.149.37.38:8443#HU [1270.43ms 0.43Mbps]
38.180.109.174:443#HU [1285.19ms 3.43Mbps]
194.71.227.213:443#BE [1285.64ms 0.53Mbps]
38.180.100.80:443#RS [1287.15ms 0.26Mbps]
38.180.225.166:443#HU [1287.27ms 0.08Mbps]
8.213.199.128:443#TH [1291.88ms 0.12Mbps]
38.180.108.148:443#HU [1295.33ms 3.46Mbps]
195.162.68.79:443#IS [1302.62ms 2.74Mbps]
195.54.170.66:8443#NO [1308.93ms 1.4Mbps]
91.195.254.34:443#AM [1321.04ms 0.18Mbps]
38.54.29.210:2053#GR [1325.95ms 0.08Mbps]
